year,Player,Team,Pos,name,GSIS_ID,player_info
2018,A.J. Derby,MIA,TE,A.Derby,00-0031609,"A.J. Derby, TE"
2018,Adam Thielen,MIN,WR,A.Thielen,00-0030035,"Adam Thielen, WR"
2018,Albert Wilson,MIA,WR,A.Wilson,00-0030669,"Albert Wilson, WR"
2018,Aldrick Robinson,MIN,WR,A.Robinson,00-0028116,"Aldrick Robinson, WR"
2018,Alex Collins,BAL,RB,A.Collins,00-0032426,"Alex Collins, RB"
2018,Alshon Jeffery,PHI,WR,A.Jeffery,00-0029137,"Alshon Jeffery, WR"
2018,Alvin Kamara,NO,RB,A.Kamara,00-0033906,"Alvin Kamara, RB"
2018,Andre Holmes,DEN,WR,A.Holmes,00-0028263,"Andre Holmes, WR"
2018,Andrew Luck,IND,QB,A.Luck,00-0029668,"Andrew Luck, QB"
2018,Andy Janovich,DEN,FB,A.Janovich,00-0032956,"Andy Janovich, FB"
2018,Antonio Callaway,CLE,WR,A.Callaway,00-0034772,"Antonio Callaway, WR"
2018,Antonio Gates,LAC,TE,A.Gates,00-0021547,"Antonio Gates, TE"
2018,Austin Carr,NO,WR,A.Carr,00-0033382,"Austin Carr, WR"
2018,Austin Ekeler,LAC,RB,A.Ekeler,00-0033699,"Austin Ekeler, RB"
2018,Baker Mayfield,CLE,QB,B.Mayfield,00-0034855,"Baker Mayfield, QB"
2018,Benjamin Watson,NO,TE,B.Watson,00-0022943,"Benjamin Watson, TE"
2018,Bennie Fowler,NYG,WR,B.Fowler,00-0030670,"Bennie Fowler, WR"
2018,Brandon Bolden,MIA,RB,B.Bolden,00-0029239,"Brandon Bolden, RB"
2018,Brandon Zylstra,MIN,WR,B.Zylstra,00-0034052,"Brandon Zylstra, WR"
2018,Breshad Perriman,CLE,WR,B.Perriman,00-0032054,"Breshad Perriman, WR"
2018,Brian Hoyer,NE,QB,B.Hoyer,00-0026625,"Brian Hoyer, QB"
2018,Brian Parker,DEN,TE,B.Parker,00-0032089,"Brian Parker, TE"
2018,Brice Butler,MIA,WR,B.Butler,00-0030516,"Brice Butler, WR"
2018,Brock Osweiler,MIA,QB,B.Osweiler,00-0029682,"Brock Osweiler, QB"
2018,C.J. Ham,MIN,FB,C.Ham,00-0032918,"C.J. Ham, FB"
2018,Cameron Meredith,NO,WR,C.Meredith,00-0031912,"Cameron Meredith, WR"
2018,Carson Wentz,PHI,QB,C.Wentz,00-0032950,"Carson Wentz, QB"
2018,Case Keenum,DEN,QB,C.Keenum,00-0028986,"Case Keenum, QB"
2018,Chad Beebe,MIN,WR,C.Beebe,00-0034309,"Chad Beebe, WR"
2018,Chester Rogers,IND,WR,C.Rogers,00-0032355,"Chester Rogers, WR"
